episode,timestep,reward
2,2000,-5.2142
6,4000,7.9571
11,6000,18.6111
17,8000,15.1352
20,10000,35.143
26,12000,24.4106
30,14000,30.6572
37,16000,18.001
41,18000,44.4538
45,20000,32.8357
51,22000,13.1179
56,24000,40.5381
59,26000,46.7293
66,28000,20.5675
75,30000,14.4035
85,32000,11.242
90,34000,29.712
95,36000,22.2141
98,38000,48.0964
102,40000,45.8975
107,42000,26.0136
110,44000,41.6613
114,46000,43.6335
122,48000,23.892
125,50000,55.0178
130,52000,30.6624
135,54000,24.3591
139,56000,27.031
142,58000,58.126
145,60000,45.767
153,62000,21.8417
162,64000,13.285
167,66000,32.6779
171,68000,39.3074
176,70000,18.9781
181,72000,45.1197
188,74000,19.2923
194,76000,34.1688
197,78000,55.9548
199,80000,66.7307
205,82000,29.7402
208,84000,49.3838
212,86000,33.056
214,88000,61.6817
220,90000,36.3814
226,92000,29.2735
231,94000,34.6614
236,96000,21.493
241,98000,39.5388
245,100000,32.8564
254,102000,17.2344
259,104000,32.2633
266,106000,16.7312
271,108000,29.6397
275,110000,52.2125
283,112000,14.555
288,114000,34.7568
294,116000,28.4299
301,118000,20.7415
306,120000,35.7201
311,122000,27.5911
315,124000,37.5456
317,126000,68.2547
327,128000,12.1347
331,130000,38.8635
337,132000,27.6294
343,134000,25.878
345,136000,73.7492
348,138000,49.3711
355,140000,17.9566
359,142000,43.5089
363,144000,22.445
366,146000,69.6196
373,148000,19.874
377,150000,35.2464
381,152000,40.7549
391,154000,15.4528
399,156000,19.6017
404,158000,27.0144
409,160000,30.4284
413,162000,49.1386
418,164000,32.4552
424,166000,24.7667
429,168000,35.8458
435,170000,25.305
437,172000,65.0066
440,174000,43.8122
449,176000,14.6321
455,178000,27.5241
458,180000,61.9809
460,182000,86.1551
469,184000,19.3495
471,186000,80.1601
476,188000,33.9238
482,190000,21.6891
489,192000,20.3498
499,194000,14.0304
502,196000,43.7554
506,198000,48.4659
511,200000,26.6981
516,202000,33.2419
521,204000,21.5267
526,206000,45.6817
530,208000,44.8948
535,210000,30.8224
540,212000,41.5542
542,214000,97.5064
548,216000,24.5674
550,218000,92.489
553,220000,35.6347
555,222000,91.7265
