episode,timestep,reward
1,2000,11.8715
3,4000,8.8669
6,6000,7.2897
8,8000,11.9081
10,10000,15.1736
13,12000,10.3766
16,14000,14.6795
22,16000,10.5388
26,18000,25.826
29,20000,42.0254
38,22000,22.1287
56,24000,7.1397
73,26000,10.7277
91,28000,4.6845
105,30000,6.8226
118,32000,8.7298
129,34000,11.0995
137,36000,10.974
140,38000,27.6268
146,40000,19.5899
153,42000,17.1313
164,44000,18.3286
178,46000,22.4954
189,48000,25.4238
201,50000,16.0014
210,52000,15.6326
213,54000,50.1255
220,56000,29.0803
222,58000,49.6567
227,60000,28.9057
233,62000,20.3537
245,64000,13.648
255,66000,22.0632
267,68000,26.6418
284,70000,18.9982
306,72000,12.2624
325,74000,18.9525
352,76000,5.0585
370,78000,4.8181
384,80000,6.5379
391,82000,14.7131
400,84000,13.7159
418,86000,8.3095
452,88000,2.2921
485,90000,1.5544
515,92000,4.8982
