episode,timestep,reward
1,2000,23.3909
3,4000,18.6366
5,6000,21.7865
7,8000,12.4639
9,10000,16.6326
11,12000,19.1263
13,14000,-1.8536
15,16000,-0.3559
17,18000,12.3626
19,20000,37.1787
21,22000,20.3568
23,24000,16.4452
25,26000,0.2289
28,28000,-7.6466
30,30000,0.1552
32,32000,7.9108
34,34000,-0.6967
36,36000,5.2957
38,38000,-2.4563
40,40000,9.8816
42,42000,13.9443
44,44000,14.069
46,46000,11.7432
48,48000,6.893
50,50000,2.5035
52,52000,7.9114
54,54000,3.7993
56,56000,-2.8996
58,58000,9.5986
60,60000,6.1121
62,62000,6.8483
64,64000,4.3254
66,66000,9.7584
68,68000,7.2771
70,70000,9.9034
72,72000,9.4552
74,74000,10.3223
76,76000,8.9054
78,78000,8.2798
80,80000,8.5843
82,82000,5.5086
84,84000,5.5962
86,86000,5.6334
88,88000,8.1465
90,90000,7.3354
92,92000,2.3783
94,94000,3.7259
96,96000,4.6346
98,98000,1.7179
100,100000,2.9611
102,102000,4.5553
104,104000,4.9713
106,106000,3.3031
108,108000,4.2777
110,110000,4.5561
112,112000,-5.9105
114,114000,-4.1542
116,116000,-1.6284
118,118000,-7.2669
120,120000,-14.2334
122,122000,-10.2028
124,124000,-9.6513
126,126000,-8.0809
128,128000,-10.3555
130,130000,-16.0894
132,132000,-16.8561
134,134000,-21.5866
136,136000,-14.538
138,138000,-7.8745
140,140000,-14.1593
142,142000,-8.7167
144,144000,-7.557
146,146000,-6.1659
148,148000,-2.7125
150,150000,-11.5389
152,152000,-5.7456
154,154000,-16.7523
156,156000,-2.2016
158,158000,-1.931
160,160000,-1.7661
162,162000,-2.2295
164,164000,-7.8838
166,166000,2.9011
168,168000,-11.9368
170,170000,-1.8598
172,172000,1.0819
174,174000,2.6812
176,176000,-6.4769
178,178000,2.0676
180,180000,1.8979
182,182000,3.5288
184,184000,1.1508
186,186000,2.8836
188,188000,1.2429
190,190000,3.475
192,192000,4.4318
194,194000,3.488
196,196000,2.3926
198,198000,3.3205
200,200000,-14.0846
202,202000,-15.0092
204,204000,-21.0398
206,206000,-13.583
208,208000,-19.6326
210,210000,-10.0509
212,212000,-23.9271
214,214000,-18.7661
216,216000,-20.1421
