episode,timestep,reward
2,2000,1.8471
27,4000,-9.6022
50,6000,-9.5615
63,8000,-9.7382
68,10000,-7.5971
71,12000,-0.7009
74,14000,7.0894
78,16000,12.9613
81,18000,36.237
90,20000,14.0774
104,22000,8.7502
114,24000,18.6451
126,26000,21.9269
135,28000,27.9884
145,30000,28.399
151,32000,57.5467
161,34000,37.2252
169,36000,45.2614
178,38000,57.2793
185,40000,66.8239
190,42000,70.3591
195,44000,81.0374
203,46000,54.8084
209,48000,48.1798
216,50000,70.6517
222,52000,89.0562
230,54000,54.1139
235,56000,76.5733
241,58000,73.8451
249,60000,49.2069
253,62000,75.6445
263,64000,43.9094
270,66000,50.9745
279,68000,40.1653
291,70000,39.3598
298,72000,85.8686
306,74000,78.0312
315,76000,59.9513
325,78000,55.1245
336,80000,65.8628
349,82000,58.6308
357,84000,93.2288
365,86000,84.3747
375,88000,67.9814
384,90000,83.4101
394,92000,67.2574
405,94000,69.7132
416,96000,57.368
427,98000,71.0702
438,100000,83.3633
448,102000,78.7958
461,104000,62.4084
472,106000,63.7294
481,108000,72.3062
489,110000,90.592
500,112000,75.8425
511,114000,57.5397
520,116000,76.109
529,118000,80.1724
538,120000,75.025
548,122000,72.832
557,124000,72.6592
566,126000,74.5107
575,128000,68.8207
585,130000,83.2409
595,132000,77.4078
603,134000,94.8447
614,136000,61.0372
629,138000,49.8815
643,140000,49.2945
661,142000,41.8421
675,144000,50.0556
698,146000,30.3449
715,148000,38.1593
728,150000,52.6435
741,152000,53.1279
753,154000,54.0737
765,156000,60.1676
776,158000,65.1438
785,160000,55.5391
796,162000,55.543
809,164000,50.8867
819,166000,57.0392
830,168000,56.0934
839,170000,60.4242
849,172000,82.6771
860,174000,55.3107
871,176000,68.6707
882,178000,59.5417
891,180000,83.6506
901,182000,78.5375
910,184000,93.7949
920,186000,86.7855
932,188000,68.9172
941,190000,79.607
952,192000,88.1748
962,194000,90.664
975,196000,60.2027
983,198000,76.9351
994,200000,80.7457
1005,202000,69.2307
1014,204000,92.25
1023,206000,88.5699
1033,208000,80.6678
1042,210000,80.7596
1052,212000,100.2073
1061,214000,81.7817
1071,216000,82.0079
1080,218000,87.1362
1090,220000,108.5057
1098,222000,91.0699
1108,224000,89.4765
1119,226000,80.5365
1128,228000,78.5089
1138,230000,89.8352
1147,232000,84.432
1157,234000,82.2802
1166,236000,96.7118
1175,238000,79.504
1185,240000,80.336
1193,242000,78.5505
1203,244000,86.6059
1211,246000,96.9123
1222,248000,66.0265
1231,250000,89.479
1241,252000,97.2378
1252,254000,97.4618
1262,256000,101.4847
1273,258000,82.8468
1285,260000,74.673
1296,262000,94.118
1306,264000,84.0306
1317,266000,76.8323
1327,268000,80.6949
1339,270000,78.6136
1350,272000,87.1998
1362,274000,93.3936
1373,276000,68.1724
1385,278000,79.2188
1395,280000,95.2704
1406,282000,79.8916
1416,284000,65.5523
1429,286000,67.8251
1441,288000,75.4903
1452,290000,88.0671
1463,292000,77.9713
1473,294000,80.2376
1483,296000,106.08
1494,298000,86.7191
1504,300000,92.3935
1513,302000,100.4124
1524,304000,89.0331
1535,306000,69.8262
1545,308000,71.756
1555,310000,85.3799
1566,312000,77.8821
1576,314000,87.7108
1586,316000,82.2736
1596,318000,70.0302
1606,320000,88.8073
1617,322000,91.0333
1627,324000,81.2649
1637,326000,81.4102
1647,328000,65.85
1657,330000,84.6004
1666,332000,83.567
1675,334000,85.9218
1685,336000,95.7078
1695,338000,88.7287
1704,340000,92.7634
1714,342000,91.7107
1723,344000,86.1625
1733,346000,90.649
1743,348000,84.7934
1753,350000,97.7016
1764,352000,90.2416
1774,354000,100.2374
1784,356000,91.6137
1794,358000,105.1922
1804,360000,85.147
1814,362000,90.6007
1824,364000,91.0677
1834,366000,83.121
1844,368000,81.0875
1854,370000,77.6463
1865,372000,85.1241
1874,374000,91.7585
1886,376000,75.4443
1896,378000,84.1514
1907,380000,73.2894
1917,382000,87.5866
1928,384000,87.3882
1939,386000,78.8877
1949,388000,88.2582
1961,390000,79.3248
1971,392000,74.5416
1983,394000,72.06
1994,396000,76.6312
2005,398000,76.7537
2016,400000,71.4731
2026,402000,86.0297
2037,404000,81.5394
2046,406000,80.5536
2056,408000,91.49
2066,410000,99.7532
2076,412000,86.2913
2086,414000,91.6463
2096,416000,84.695
2107,418000,97.1081
2117,420000,101.5445
2126,422000,87.78
2136,424000,77.7231
2146,426000,79.3538
2156,428000,90.7355
2167,430000,83.9799
2177,432000,80.3922
2187,434000,75.2082
2196,436000,75.506
2206,438000,82.4792
2216,440000,101.1411
2227,442000,73.1567
2237,444000,82.2306
2250,446000,62.0533
2265,448000,53.9914
2281,450000,41.6647
2298,452000,42.546
2318,454000,33.5109
2330,456000,73.9268
2342,458000,68.9673
2354,460000,61.11
2366,462000,58.9701
2378,464000,61.7006
2390,466000,68.8257
2407,468000,41.917
2417,470000,64.1481
2429,472000,61.3474
2440,474000,74.9857
2453,476000,58.5472
2466,478000,69.4945
2477,480000,77.594
2488,482000,78.0276
2498,484000,75.8607
2511,486000,71.2212
2521,488000,94.4642
2531,490000,96.8114
2541,492000,96.9164
2550,494000,94.2919
2561,496000,93.3701
2571,498000,86.3627
2581,500000,79.3108
2593,502000,77.0901
