episode,timestep,reward
3,2000,3.927
33,4000,-9.3592
63,6000,-9.2631
89,8000,-9.2751
99,10000,-9.3955
107,12000,-8.9249
110,14000,-4.7789
115,16000,2.4737
124,18000,0.0305
127,20000,5.8014
131,22000,1.6741
135,24000,6.3497
138,26000,5.2001
140,28000,8.3368
150,30000,4.4589
155,32000,16.8698
162,34000,19.61
167,36000,22.7552
172,38000,27.4459
181,40000,20.7738
186,42000,41.2572
196,44000,28.4067
202,46000,30.1921
208,48000,41.1827
214,50000,33.8376
221,52000,44.0753
227,54000,51.2446
237,56000,33.2045
251,58000,28.9502
263,60000,42.2271
275,62000,41.6645
291,64000,39.5444
303,66000,43.3174
313,68000,48.9071
325,70000,46.9229
338,72000,37.9512
351,74000,58.2249
363,76000,51.1456
374,78000,57.802
383,80000,52.5518
395,82000,49.7692
405,84000,65.3122
417,86000,53.7284
427,88000,69.0754
438,90000,54.5091
448,92000,69.5814
463,94000,45.9209
478,96000,44.3592
489,98000,63.0624
500,100000,59.0263
511,102000,59.4953
524,104000,52.2029
533,106000,50.879
543,108000,70.2551
556,110000,56.4004
567,112000,62.1994
576,114000,84.2673
588,116000,63.7122
599,118000,66.1045
611,120000,74.4471
623,122000,50.3338
632,124000,77.0489
642,126000,64.3888
651,128000,66.8185
663,130000,70.1785
674,132000,64.7991
684,134000,72.1017
694,136000,71.0654
706,138000,61.9605
716,140000,73.2521
727,142000,78.8683
738,144000,71.2347
749,146000,57.0106
758,148000,86.7001
771,150000,61.1648
782,152000,66.449
793,154000,66.0926
804,156000,68.9556
816,158000,57.6966
828,160000,59.6179
839,162000,58.2094
848,164000,86.2135
858,166000,86.6694
868,168000,82.5531
877,170000,81.9514
887,172000,75.8589
896,174000,80.394
906,176000,81.1747
916,178000,76.2822
926,180000,85.3607
936,182000,70.6845
945,184000,79.2146
956,186000,72.6514
967,188000,66.1525
976,190000,73.7045
985,192000,79.6587
994,194000,68.4696
1005,196000,71.0111
1015,198000,84.0465
1024,200000,74.3518
1034,202000,80.1214
1044,204000,94.4186
1054,206000,87.5836
1065,208000,75.5924
1073,210000,85.5948
1082,212000,88.5266
1093,214000,73.5454
1102,216000,68.4657
1112,218000,74.4466
1120,220000,74.9855
1129,222000,84.1474
1138,224000,78.6244
1146,226000,93.321
1155,228000,66.2407
1164,230000,79.3849
1173,232000,78.0349
1184,234000,73.3854
1194,236000,83.9124
1203,238000,66.6512
1213,240000,69.1796
1221,242000,85.0696
1231,244000,86.5851
1240,246000,104.2285
1250,248000,88.6768
1259,250000,82.4803
1270,252000,77.4423
1281,254000,78.8151
1291,256000,80.4463
1301,258000,87.6574
1311,260000,67.3228
1322,262000,75.8317
1334,264000,76.9062
1345,266000,76.3088
1356,268000,94.2488
1366,270000,85.4201
1377,272000,80.7877
1387,274000,81.0814
1399,276000,80.1621
1409,278000,76.264
1419,280000,67.4365
1429,282000,78.3382
1442,284000,66.5771
1452,286000,70.9294
1466,288000,63.2358
1477,290000,66.2986
1488,292000,79.5906
1503,294000,49.1261
1516,296000,67.2582
1530,298000,68.7684
1543,300000,60.9988
1556,302000,60.619
1569,304000,69.8872
1581,306000,66.1511
1591,308000,75.2881
1602,310000,67.0611
1617,312000,60.4971
1629,314000,66.5908
1642,316000,62.4186
1655,318000,62.5392
1666,320000,73.5394
1678,322000,70.8109
1691,324000,63.3121
1702,326000,70.2569
1715,328000,61.9961
1725,330000,91.9631
1738,332000,58.6378
1750,334000,69.8891
1763,336000,67.2882
1774,338000,77.6822
1785,340000,70.1065
1794,342000,79.2129
1805,344000,67.3979
1815,346000,60.4198
1826,348000,72.3602
1837,350000,77.2299
1848,352000,65.4074
1858,354000,84.5216
1871,356000,70.9473
1883,358000,55.8476
1894,360000,76.0624
1907,362000,63.9578
1918,364000,76.4952
1929,366000,68.4186
1939,368000,88.4372
1950,370000,78.7801
1961,372000,72.1621
1971,374000,68.6844
1981,376000,76.1109
1994,378000,63.9161
2004,380000,76.2449
2014,382000,79.2767
2025,384000,66.2842
2035,386000,83.1741
2045,388000,70.394
2058,390000,58.2687
2067,392000,75.3792
2077,394000,75.2591
2087,396000,72.607
2097,398000,76.9683
2108,400000,89.1526
2118,402000,72.2318
2128,404000,73.0388
2139,406000,62.2068
2149,408000,77.8608
2161,410000,58.4697
2170,412000,80.507
2180,414000,68.7397
2191,416000,71.6116
2202,418000,63.2994
2213,420000,68.345
2222,422000,86.04
2233,424000,90.1101
2243,426000,79.9259
2253,428000,76.2137
2264,430000,68.0459
2276,432000,71.2577
2286,434000,72.4949
2295,436000,68.8724
2305,438000,85.7887
2314,440000,87.2452
2325,442000,66.4435
2336,444000,69.9306
2346,446000,77.6556
2355,448000,78.4492
2365,450000,78.6067
2374,452000,78.1744
2384,454000,99.7722
2395,456000,72.3177
2404,458000,74.0718
2413,460000,82.3626
2424,462000,84.6098
2435,464000,73.0651
2444,466000,75.6982
2456,468000,80.2575
2466,470000,79.5717
2478,472000,78.8565
2489,474000,80.7398
2499,476000,82.0115
2510,478000,69.7236
2520,480000,79.1597
2530,482000,72.3008
2540,484000,65.204
2550,486000,89.0417
2559,488000,84.7309
2570,490000,74.7699
2580,492000,83.8058
2590,494000,79.0796
2600,496000,74.9078
2610,498000,81.1495
2620,500000,79.06
2632,502000,74.2146
2643,504000,91.4001
2654,506000,78.326
2666,508000,75.5312
2678,510000,73.2796
2691,512000,68.9132
2702,514000,82.1281
2715,516000,68.1819
2726,518000,91.2214
2738,520000,71.194
2750,522000,73.2381
2762,524000,73.2638
2773,526000,83.3004
2786,528000,65.1238
2797,530000,78.8132
2808,532000,84.3064
2819,534000,86.8631
2830,536000,79.1525
2842,538000,80.1759
2855,540000,72.274
2867,542000,69.1605
2879,544000,73.9357
2891,546000,68.3254
2903,548000,63.4445
2915,550000,78.8802
2925,552000,79.8314
2938,554000,75.8958
2949,556000,78.3378
2962,558000,74.8715
2977,560000,63.3198
2989,562000,77.1873
3000,564000,85.4435
3013,566000,69.8485
3027,568000,62.2793
3039,570000,71.0912
3051,572000,85.3787
3062,574000,74.48
3075,576000,79.348
3088,578000,71.9633
3100,580000,68.8246
3115,582000,61.4845
3128,584000,68.2033
3142,586000,66.7456
3153,588000,87.4462
3164,590000,89.3053
3175,592000,71.1989
3186,594000,81.1857
3197,596000,86.6885
3209,598000,68.7081
3220,600000,69.8209
3232,602000,73.1312
3243,604000,69.7164
3254,606000,76.0123
3265,608000,83.4901
3276,610000,76.4969
3287,612000,81.2446
3299,614000,61.5954
3312,616000,75.2666
3328,618000,45.7758
3342,620000,61.3895
3355,622000,64.4869
3371,624000,60.226
3387,626000,58.3808
3401,628000,61.9261
3414,630000,68.7702
3427,632000,71.4413
3440,634000,73.4293
3451,636000,80.1705
3462,638000,93.7473
3476,640000,68.6857
3488,642000,66.0176
3499,644000,91.4229
3511,646000,66.2336
3524,648000,73.145
3537,650000,63.7199
3548,652000,75.7616
3560,654000,73.9105
3572,656000,62.8613
3585,658000,64.1817
3596,660000,70.2391
3608,662000,75.1716
3620,664000,82.4702
3633,666000,67.6058
3644,668000,81.3648
3657,670000,72.7261
3670,672000,63.414
3682,674000,77.506
3692,676000,83.0001
3704,678000,76.8926
3715,680000,62.3428
3727,682000,69.9773
3738,684000,76.5643
3748,686000,76.0543
3759,688000,71.6579
3770,690000,73.0954
3782,692000,72.4811
3793,694000,68.556
3805,696000,56.5415
3819,698000,59.2992
3838,700000,39.4318
3853,702000,54.9701
3868,704000,55.9485
3882,706000,61.0045
3896,708000,58.6583
3913,710000,44.6131
3924,712000,72.0514
3938,714000,60.2561
3949,716000,79.9214
3961,718000,71.2164
3973,720000,60.9588
3983,722000,73.9357
3992,724000,77.7298
4003,726000,73.6052
4012,728000,63.9812
4022,730000,84.4764
4031,732000,94.7108
4040,734000,80.8753
4050,736000,74.1448
4060,738000,75.0769
4071,740000,72.1011
4083,742000,60.7544
4093,744000,72.9371
4106,746000,63.0573
4117,748000,70.6222
4128,750000,74.0157
4140,752000,75.344
4152,754000,81.3613
4164,756000,89.4227
4175,758000,91.0072
4187,760000,77.1587
4199,762000,78.769
4213,764000,74.0439
4225,766000,70.7311
4238,768000,72.7504
4252,770000,68.2229
4265,772000,71.9358
4278,774000,75.5904
4292,776000,67.4292
4305,778000,68.7025
4319,780000,74.023
4332,782000,84.6506
4348,784000,62.1054
4363,786000,62.6645
4379,788000,63.1873
4395,790000,63.7004
4410,792000,63.0437
4423,794000,84.3502
4436,796000,76.3888
4449,798000,79.3187
4462,800000,79.0357
4478,802000,66.2288
4492,804000,69.4173
4504,806000,83.1296
4518,808000,62.5842
4531,810000,70.5027
4545,812000,69.844
4557,814000,71.044
4571,816000,78.1642
4585,818000,75.6555
4599,820000,80.4535
4613,822000,63.5157
4628,824000,62.1161
4643,826000,64.3134
4656,828000,68.5272
4671,830000,65.1686
4686,832000,60.4861
4700,834000,70.3837
4718,836000,53.2929
4735,838000,58.0426
4752,840000,53.025
4769,842000,56.9606
4782,844000,67.8601
4795,846000,84.0105
4809,848000,62.7419
4823,850000,55.3396
4836,852000,72.5318
4852,854000,57.9869
4869,856000,57.6162
4886,858000,62.728
4900,860000,71.4749
4913,862000,74.2861
4925,864000,82.0847
4937,866000,78.6052
4949,868000,70.9401
4963,870000,70.1212
4975,872000,75.8691
4988,874000,75.6465
5000,876000,92.2201
5013,878000,79.2927
5025,880000,71.415
5038,882000,76.6074
5050,884000,86.2003
5065,886000,68.3233
5080,888000,74.4537
5092,890000,81.5745
5105,892000,83.189
5119,894000,76.5966
5132,896000,73.7319
5147,898000,67.1815
5159,900000,94.4625
5171,902000,71.2906
5184,904000,84.6003
5196,906000,83.8332
5210,908000,65.1063
5223,910000,83.4975
5237,912000,67.3259
5250,914000,77.2255
5263,916000,79.8634
5276,918000,75.6444
5289,920000,71.0577
5302,922000,66.2266
5316,924000,69.26
5327,926000,82.7852
5340,928000,81.8144
5353,930000,83.0605
5366,932000,73.3571
5380,934000,69.684
5393,936000,83.2709
5406,938000,73.1156
5418,940000,75.1686
5430,942000,84.884
5442,944000,79.7524
5454,946000,79.444
5467,948000,70.7484
5480,950000,68.9162
5492,952000,88.4078
5506,954000,77.661
5519,956000,72.1998
5533,958000,80.6099
5547,960000,68.4607
5560,962000,82.2636
5575,964000,67.8311
5589,966000,74.3419
5603,968000,67.4427
5616,970000,82.8659
5629,972000,82.9007
5642,974000,75.7159
5657,976000,72.4516
5671,978000,82.3415
5684,980000,77.7022
5698,982000,73.485
5710,984000,78.5708
5723,986000,78.0694
5737,988000,77.2768
5750,990000,78.7424
5765,992000,70.9219
5779,994000,71.2276
5792,996000,71.2642
5806,998000,79.8482
5819,1000000,70.1016
