episode,timestep,reward
2,2000,0.0637
19,4000,-9.7333
31,6000,-9.684
44,8000,-9.4914
47,10000,-1.038
55,12000,-1.1766
62,14000,2.4981
68,16000,1.7806
71,18000,2.6735
74,20000,0.4595
82,22000,2.3369
88,24000,8.5255
95,26000,0.1768
102,28000,0.1138
112,30000,3.2799
124,32000,4.3377
137,34000,4.6585
147,36000,5.8532
154,38000,10.7801
161,40000,7.253
165,42000,18.5353
169,44000,20.6931
177,46000,15.3352
191,48000,6.2828
198,50000,15.0316
205,52000,13.6422
212,54000,11.9239
214,56000,54.8204
216,58000,47.8689
220,60000,31.5282
222,62000,62.3581
224,64000,66.5702
227,66000,63.9954
229,68000,80.101
231,70000,98.5614
233,72000,66.981
238,74000,66.1293
241,76000,65.5434
245,78000,83.5009
248,80000,66.5443
253,82000,36.4569
259,84000,50.089
261,86000,75.1348
266,88000,57.6287
270,90000,72.5652
275,92000,50.0107
279,94000,65.0778
284,96000,76.6069
288,98000,57.1148
293,100000,71.0927
298,102000,71.4916
302,104000,46.0882
306,106000,60.4638
309,108000,65.0701
313,110000,68.181
318,112000,72.2862
322,114000,55.6282
330,116000,74.1333
338,118000,66.8735
348,120000,45.943
357,122000,57.3165
368,124000,36.8999
379,126000,43.0906
387,128000,63.6225
391,130000,73.9553
398,132000,70.6423
405,134000,61.7811
411,136000,63.53
418,138000,51.1666
426,140000,84.7302
432,142000,89.377
440,144000,76.5518
449,146000,54.6526
457,148000,81.9155
468,150000,65.9534
475,152000,81.4029
482,154000,74.0129
494,156000,55.2581
502,158000,69.4634
512,160000,68.6578
522,162000,60.7878
541,164000,26.449
557,166000,39.0551
570,168000,52.9642
583,170000,56.0688
592,172000,71.203
604,174000,64.4931
615,176000,60.9136
624,178000,68.9827
632,180000,77.3448
642,182000,70.4165
653,184000,62.582
664,186000,62.8024
673,188000,66.6916
682,190000,73.9828
691,192000,71.5191
698,194000,75.7416
707,196000,61.3814
715,198000,71.1351
723,200000,91.5016
734,202000,63.7016
741,204000,91.6884
750,206000,73.0582
760,208000,75.0215
767,210000,69.0604
776,212000,68.6854
783,214000,82.8071
792,216000,71.6155
802,218000,73.5955
812,220000,66.9734
820,222000,87.2327
828,224000,82.8005
837,226000,89.8571
846,228000,69.163
855,230000,66.1625
867,232000,65.1736
877,234000,70.2002
886,236000,77.292
897,238000,61.5002
907,240000,55.659
916,242000,67.958
924,244000,68.3374
931,246000,61.2776
938,248000,71.8619
946,250000,63.8146
953,252000,83.7781
963,254000,69.1721
973,256000,76.5534
985,258000,61.4116
996,260000,76.5968
1007,262000,75.4596
1017,264000,65.159
1025,266000,79.3254
1032,268000,72.026
1042,270000,61.9798
1052,272000,71.2453
1060,274000,68.9474
1070,276000,76.384
1078,278000,81.593
1088,280000,75.0196
1097,282000,71.7072
1106,284000,83.3427
1116,286000,71.1706
1126,288000,75.8738
1135,290000,81.2927
1147,292000,66.5634
1157,294000,60.2265
1167,296000,74.1404
1177,298000,76.4502
1187,300000,86.9643
1198,302000,65.0393
1207,304000,70.8189
1217,306000,59.6357
1225,308000,67.1983
1235,310000,58.3675
1245,312000,65.888
1256,314000,60.4819
1265,316000,59.8852
1276,318000,65.2065
1288,320000,72.1717
1299,322000,74.9473
1310,324000,67.6485
1320,326000,76.1525
1331,328000,68.1649
1341,330000,75.6818
1351,332000,78.8472
1360,334000,72.7388
1372,336000,69.4239
1384,338000,73.5393
1394,340000,92.218
1404,342000,73.1417
1414,344000,75.413
1424,346000,79.8049
1435,348000,72.0861
1446,350000,79.2487
1457,352000,71.6793
1467,354000,76.0048
1476,356000,77.3203
1487,358000,63.8651
1498,360000,62.9764
1508,362000,73.0978
1518,364000,77.7684
1528,366000,78.7503
1539,368000,81.5977
1552,370000,72.5188
1563,372000,70.5691
1575,374000,75.0822
1585,376000,70.3022
1597,378000,79.6315
1608,380000,65.4224
1621,382000,63.7725
1633,384000,64.0158
1643,386000,73.9673
1656,388000,75.3021
1668,390000,68.6674
1681,392000,66.1537
1691,394000,75.4321
1702,396000,77.6598
1714,398000,63.8872
1726,400000,66.4949
1738,402000,72.4228
1749,404000,78.5582
1759,406000,71.4932
1771,408000,69.2335
1783,410000,65.7513
1795,412000,61.0437
1805,414000,81.4804
1815,416000,81.0698
1827,418000,59.529
1838,420000,72.2619
