episode,timestep,reward
1,2000,11.6105
4,4000,7.2813
6,6000,14.684
8,8000,12.5727
10,10000,14.5539
12,12000,15.7058
16,14000,10.6619
21,16000,9.2442
26,18000,10.4621
31,20000,9.9392
34,22000,17.0539
37,24000,31.9958
42,26000,16.3988
44,28000,34.5489
51,30000,20.0292
60,32000,16.1079
67,34000,17.4755
69,36000,94.0912
76,38000,34.531
96,40000,10.9469
103,42000,30.9407
111,44000,23.272
119,46000,32.7985
133,48000,20.594
139,50000,27.2723
152,52000,26.1181
169,54000,18.8878
180,56000,30.9918
197,58000,24.323
217,60000,14.1417
232,62000,19.7301
254,64000,11.0869
274,66000,16.9097
292,68000,26.2873
315,70000,24.997
340,72000,19.6701
359,74000,30.9577
383,76000,22.1148
409,78000,16.7804
439,80000,14.7908
468,82000,18.8745
495,84000,19.0472
